time_au,cl_z,cl_vz
10.2,11.28228514622926,2.474537255750087
10.22,11.33176847664448,2.473798999771897
10.24,11.38123710622014,2.473065818245841
10.26,11.43069110937431,2.472335609855918
10.28,11.48013053061437,2.471606684927325
10.3,11.52955537677141,2.470879883639697
10.32,11.57896572595996,2.470158331461473
10.34,11.62836171002986,2.469442377244731
10.36,11.67774342104975,2.468731074668168
10.38,11.72711095301659,2.468024327470292
10.4,11.77646439414856,2.467321921521378
10.42,11.82580382987745,2.466624766427065
10.44,11.87512938480564,2.4659329726107
10.46,11.92444114878188,2.465245159962105
10.48,11.97373919120413,2.464560201796726
10.5,12.02302355685375,2.463877631399354
10.52,12.0722942964601,2.463201045860568
10.54,12.12155159868817,2.462531329762673
10.56,12.17079554965061,2.461867150358472
10.58,12.22002628470251,2.461208352231112
10.6,12.26924388373986,2.46055525897013
10.62,12.31844849506131,2.45990791653923
10.64,12.36764020040142,2.459265213904747
10.66,12.4168191036175,2.458626788440071
10.68,12.46598527193903,2.457991641967639
10.7,12.51513876929621,2.457360345545442
10.72,12.56427968576084,2.456735403317806
10.74,12.61340818542892,2.456117804668429
10.76,12.66252439794758,2.45550624733461
10.78,12.7116284353223,2.454899580807436
10.8,12.76072038117988,2.454298232821398
10.82,12.80980036463516,2.453702708968204
10.84,12.85886848953861,2.453112014804052
10.86,12.90792484522732,2.452526783613684
10.88,12.95696956088315,2.451945787583713
10.9,13.00600267673067,2.451368659134707
10.92,13.05502430724854,2.450797526822487
10.94,13.10403457780357,2.45023333450719
10.96,13.15303364062883,2.449675209517649
10.98,13.20202158618427,2.449121813524021
11.0,13.25099851316979,2.448573876802675
11.02,13.29996454125638,2.448030639846357
11.04,13.34891973876364,2.447492078703954
11.06,13.39786422440454,2.44695941054053
11.08,13.44679811518527,2.446431270614789
11.1,13.49572147522913,2.445906571782398
11.12,13.54463437805656,2.445386942820561
11.14,13.59353695294195,2.444874808245708
11.16,13.64242937038639,2.444368401296082
11.18,13.6913116889938,2.443866810286166
11.2,13.74018404279784,2.443370003349593
11.22,13.78904648912778,2.442876688664467
11.24,13.83789911034441,2.44238692467161
11.26,13.88674196611464,2.441902182637463
11.28,13.93557519764991,2.441423479808959
11.3,13.984398905307,2.440948167502539
11.32,14.03321312435001,2.440477147748619
11.34,14.08201799121695,2.440011693834595
11.36,14.1308135921034,2.43955157361861
11.38,14.17960005416169,2.439097326217123
11.4,14.22837748515208,2.438647014974058
11.42,14.27714593476065,2.43819980341014
11.44,14.32590547728849,2.437755737601651
11.46,14.37465616426472,2.437314782785389
11.48,14.4233980685999,2.436878205981473
11.5,14.47213129250398,2.436445174023464
11.52,14.52085587556084,2.436015571039543
11.54,14.56957191534556,2.435591264664047
11.56,14.6182795261474,2.435171920369034
11.58,14.66697879216032,2.434756885036943
11.6,14.71566980154888,2.434344574608528
11.62,14.76435257514466,2.433935347443164
11.64,14.81302721544661,2.433529490141983
11.66,14.86169375475034,2.43312596240129
11.68,14.91035225394266,2.432726369431485
11.7,14.9590028095276,2.432329103273021
11.72,15.00764541807358,2.431935718043905
11.74,15.05628023824936,2.431547512784825
11.76,15.10490731858497,2.431162521489992
11.78,15.15352673910896,2.430780919315485
11.8,15.20213855535759,2.430402098417924
11.82,15.25074282304567,2.430026385483955
11.84,15.29933961077695,2.429653010009625
11.86,15.34792894344606,2.429280891303129
11.88,15.39651084642908,2.42891122715312
11.9,15.44508539253218,2.428545061728383
11.92,15.49365264889821,2.428182464885143
11.94,15.54221269112759,2.427822915108845
11.96,15.59076556550257,2.427466383357673
11.98,15.6393113464619,2.427113923118428
12.0,15.6878501224273,2.426764329871821
12.02,15.73638191965677,2.426416196545657
12.04,15.78490677028913,2.42606977115
12.06,15.83342471050277,2.425724384214917
12.08,15.88193574565773,2.425380641471861
12.1,15.93043993616164,2.425040420842365
12.12,15.97893736249142,2.424703009268439
12.14,16.02742805653238,2.424369015962978
12.16,16.07591212312994,2.424037741860584
12.18,16.1243895662068,2.423708132632225
12.2,16.17286044843523,2.42338165997525
12.22,16.22132483260582,2.423055812367283
12.24,16.26978268092992,2.422730462369365
12.26,16.31823405110059,2.422406971414428
12.28,16.3666789597865,2.422084964188921
12.3,16.41511744966814,2.421765326789358
12.32,16.46354957285807,2.421447464524629
12.34,16.51197534824913,2.421132984280072
12.36,16.56039489222927,2.420820889847661
12.38,16.60880818384303,2.420509783622004
12.4,16.65721528357415,2.420201358837386
12.42,16.70561623819653,2.419894122091824
12.44,16.75401104845782,2.419587816585465
12.46,16.80239975085995,2.419282639920829
12.48,16.85078235405466,2.418977970922413
12.5,16.89915886969684,2.418674805458134
12.52,16.94752934627298,2.418373969764934
12.54,16.99589382848744,2.418075895239725
12.56,17.04425238208257,2.41777893908066
12.58,17.09260498605067,2.417482194060539
12.6,17.14095166984499,2.417188677517017
12.62,17.18929253315135,2.416896815970544
12.64,17.23762754248382,2.416604311271361
12.66,17.28595670560221,2.416312714479101
